id,dID,type,secid,sub_secid
924176,9897,seller,6556,6585
924377,9888,seller,6565,6672
924378,9888,seller,6565,6673
925127,9918,seller,6558,6616
925131,9935,seller,6567,6684
925135,9934,seller,6555,6575
925136,9934,seller,6556,6594
925137,9934,seller,6563,6649
925151,9932,seller,6555,6569
925154,9943,seller,6557,6604
925155,9943,seller,6572,6725
925156,9943,seller,6572,6728
925158,9908,seller,6562,6644
925159,9908,seller,6562,6648
925172,9887,seller,6557,6605
925175,9884,seller,6557,6605
925199,9927,seller,6557,6605
925203,9925,seller,6555,6569
925204,9925,seller,6556,6584
925205,9924,seller,6556,6585
925206,9924,seller,6557,6600
925207,9924,seller,6573,6730
925208,9924,seller,6573,6731
925209,9923,seller,6557,6598
925210,9923,seller,6557,6602
925211,9923,seller,6557,6603
925212,9923,seller,6557,6604
925213,9922,seller,6556,6586
925214,9922,seller,6556,6587
925264,8643,seller,6556,6585
925265,8643,seller,6557,6598
925275,9948,seller,6565,6674
925278,9947,seller,6573,6730
925279,9947,seller,6573,6733
925280,9947,seller,6573,6734
925281,9947,seller,6573,6735
925316,9984,seller,6557,6598
925319,9982,seller,6556,6584
925371,9995,seller,6565,6672
925849,10022,seller,6565,6672
925856,10026,seller,6556,6585
925857,10026,seller,6558,6609
925858,10026,seller,6558,6616
925859,10027,seller,6558,6612
925860,10028,seller,6556,6585
925863,10030,seller,6557,6598
925864,10030,seller,6557,6602
925872,10034,seller,6559,6617
925873,10034,seller,6559,6618
925874,10034,seller,6559,6621
925876,10035,seller,6565,6672
925877,10035,seller,6565,6675
925883,10038,seller,6556,6585
925884,10038,seller,6556,6588
925885,10038,seller,6556,6590
925886,10038,seller,6556,6593
925895,10045,seller,6555,6565
925955,10067,seller,6556,6585
925956,10067,seller,6557,6598
925957,10068,seller,6557,6598
925959,10070,seller,6563,6661
925961,10072,seller,6565,6674
925962,10072,seller,6564,6663
925963,10072,seller,6564,6664
925964,10072,seller,6564,6665
925965,10072,seller,6564,6666
925966,10072,seller,6564,6667
925967,10073,seller,6567,6684
926029,10075,seller,6556,6585
926179,10020,seller,6556,6587
926182,10019,seller,6565,6672
926440,10059,seller,6563,6656
926441,10059,seller,6563,6660
926442,10059,seller,6568,6689
926443,10060,seller,6556,6585
926446,10062,seller,6555,6569
926447,10062,seller,6563,6649
926551,9988,seller,6559,6617
926552,9988,seller,6559,6618
926558,10013,seller,6574,6741
926559,10013,seller,6577,6759
926789,10006,seller,6556,6589
926790,10006,seller,6570,6697
926791,10006,seller,6572,6725
926792,10006,seller,6577,6762
926793,10006,seller,6555,6563
926794,10006,seller,6555,6564
926795,10006,seller,6555,6565
926796,10006,seller,6555,6566
926797,10006,seller,6555,6567
926798,10006,seller,6555,6568
926799,10006,seller,6555,6569
926800,10006,seller,6555,6570
926801,10006,seller,6555,6571
926802,10006,seller,6555,6572
926803,10006,seller,6555,6573
926804,10006,seller,6555,6574
926805,10006,seller,6555,6575
926806,10006,seller,6555,6576
926807,10006,seller,6555,6577
926808,10006,seller,6555,6578
926809,10006,seller,6555,6579
926810,10006,seller,6555,6580
926811,10006,seller,6555,6581
926812,10006,seller,6555,6582
926841,10071,seller,6555,6565
926845,10084,seller,6560,6627
926870,10087,seller,6559,6617
926871,10087,seller,6559,6618
926872,10087,seller,6559,6621
926873,10088,seller,6567,6680
926874,10088,seller,6568,6689
926875,10088,seller,6568,6690
926925,10100,seller,6556,6585
926926,10100,seller,6556,6591
926927,10101,seller,6563,6661
926928,10101,seller,6570,6700
926929,10101,seller,6573,6729
926930,10102,seller,6562,6643
915945,8604,seller,6572,6727
915946,8604,seller,6572,6764
915947,8604,seller,6572,6767
915948,8604,seller,6572,6769
915949,8605,seller,6558,6612
915956,8608,seller,6565,6672
915957,8608,seller,6565,6673
915958,8608,seller,6565,6674
915959,8608,seller,6565,6675
916001,9769,seller,6565,6674
916002,9769,seller,6565,6675
916003,9770,seller,6565,6668
916014,9773,seller,6559,6617
916015,9773,seller,6559,6618
916016,9774,seller,6561,6638
916017,9774,seller,6561,6640
916146,9775,seller,6561,6640
916147,8612,seller,6574,6740
916148,8612,seller,6574,6741
916156,9780,seller,6556,6585
916157,9780,seller,6577,6759
916265,9791,seller,6556,6584
930969,8406,seller,6560,6633
931015,10281,seller,6557,6603
931040,10293,seller,6560,6624
931041,10293,seller,6574,6745
931091,10200,seller,6557,6598
931092,10200,seller,6557,6604
931093,10200,seller,6572,6725
931155,10318,seller,6560,6631
931156,10318,seller,6560,6632
931157,10318,seller,6560,6634
931174,10309,seller,6575,6749
931175,10309,seller,6575,6750
931176,10309,seller,6575,6751
931177,10322,seller,6560,6625
931181,10199,seller,6555,6579
931182,10199,seller,6556,6593
931232,10338,seller,6560,6632
931233,10338,seller,6563,6657
931234,10337,seller,6560,6632
931235,10337,seller,6563,6657
931321,10348,seller,6563,6649
931322,10348,seller,6565,6673
931416,10351,seller,6565,6673
931501,10235,seller,6573,6729
931502,10235,seller,6573,6733
931503,10235,seller,6573,6734
931504,10235,seller,6574,6739
931505,10235,seller,6574,6738
931772,10363,seller,6557,6602
931773,10363,seller,6557,6604
931774,10363,seller,6557,6606
931775,10364,seller,6556,6584
931776,10364,seller,6563,6659
931777,10364,seller,6563,6662
931782,10366,seller,6557,6604
931783,10366,seller,6572,6725
931802,9937,seller,6555,6569
931819,9938,seller,6556,6584
931820,9938,seller,6557,6604
