mid,sid,pid,ustatus,score,astatus
1860004,11585,9893,NULL,9.825000,New
1860003,11576,9893,NULL,10.000000,New
1860002,11566,9893,NULL,9.825000,New
1859998,11384,9893,NULL,9.808000,New
1859997,11383,9893,NULL,9.825000,New
1859995,11361,9893,NULL,9.825000,New
1859987,11015,9893,NULL,10.000000,New
1859978,10590,9893,NULL,10.000000,New
1859977,10581,9893,NULL,10.000000,New
1859960,7146,9893,NULL,9.825000,New
1859907,13792,9769,NULL,9.123000,New
1859902,13792,9726,NULL,10.000000,New
1859901,13792,9723,NULL,10.000000,New
1859900,13792,9716,NULL,10.000000,New
1859882,13792,9599,NULL,10.000000,New
1859881,13792,9598,NULL,10.000000,New
1859880,13792,9597,NULL,10.000000,New
1859879,13792,9596,NULL,10.000000,New
1859878,13792,9595,NULL,10.000000,New
1859877,13792,9594,NULL,10.000000,New
1859875,13792,9587,NULL,10.000000,New
1859868,13792,9516,NULL,10.000000,New
1859867,13792,9502,NULL,10.000000,New
1859866,13792,9499,NULL,10.000000,New
1859865,13792,9487,NULL,10.000000,New
1859857,13792,9453,NULL,10.000000,New
1859856,13792,9452,NULL,10.000000,New
1859852,13792,9369,NULL,10.000000,New
1859850,13792,9344,NULL,10.000000,New
1858505,13791,9748,NULL,10.000000,New
1858495,13791,9604,NULL,10.000000,New
1858494,13791,9592,NULL,10.000000,New
1858490,13791,9500,NULL,10.000000,New
1858481,13791,9378,NULL,9.123000,New
1858480,13791,9377,NULL,10.000000,New
1858184,13790,9769,NULL,9.123000,New
1858181,13790,9723,NULL,10.000000,New
1858180,13790,9716,NULL,10.000000,New
1858174,13790,9670,NULL,10.000000,New
1858170,13790,9645,NULL,10.000000,New
1858159,13790,9587,NULL,10.000000,New
1858157,13790,9542,NULL,10.000000,New
1858153,13790,9487,NULL,10.000000,New
1858146,13790,9452,NULL,10.000000,New
1857672,13787,9881,NULL,10.000000,Approved
1857670,13787,9825,NULL,10.000000,New
1857668,13787,9810,NULL,10.000000,New
1857646,13787,9552,NULL,10.000000,New
1857645,13787,9548,NULL,10.000000,New
1857640,13787,9480,NULL,10.000000,New
1852779,13775,9705,NULL,9.825000,New
1852776,13775,9501,NULL,9.825000,New
1852775,13775,9500,NULL,9.825000,New
1852774,13775,9499,NULL,9.825000,New
1850658,13735,9369,NULL,9.123000,Approved
1849149,13774,9881,NULL,10.000000,New
1849144,13774,9813,NULL,10.000000,New
1849133,13774,9678,NULL,10.000000,New
1849121,13774,9552,NULL,10.000000,New
1849118,13774,9510,NULL,10.000000,New
1849114,13774,9491,NULL,10.000000,New
1849111,13774,9480,NULL,10.000000,New
1849098,13774,9419,NULL,10.000000,New
1848299,13772,9708,NULL,9.825000,New
1848296,13772,9534,NULL,9.825000,New
1848295,13772,9510,NULL,9.825000,New
1848294,13772,9491,NULL,9.825000,New
1848293,13772,9480,NULL,9.825000,New
1848057,13771,9708,NULL,9.123000,New
1848053,13771,9695,NULL,10.000000,Approved
1848049,13771,9670,NULL,10.000000,New
1848044,13771,9645,NULL,10.000000,New
1848040,13771,9599,NULL,10.000000,New
1848039,13771,9598,NULL,10.000000,New
1848038,13771,9597,NULL,10.000000,New
1848037,13771,9596,NULL,10.000000,New
1848036,13771,9595,NULL,10.000000,New
1848035,13771,9594,NULL,10.000000,New
1848028,13771,9534,NULL,10.000000,New
1848024,13771,9516,NULL,10.000000,New
1848022,13771,9510,NULL,10.000000,New
1848017,13771,9491,NULL,10.000000,New
1848015,13771,9487,NULL,10.000000,New
1848007,13771,9457,NULL,10.000000,New
1848005,13771,9453,NULL,10.000000,New
1848004,13771,9452,NULL,10.000000,New
1847992,13771,9419,NULL,10.000000,New
1847986,13771,9344,NULL,10.000000,Approved
1847477,13758,9705,NULL,10.000000,New
1847468,13758,9501,NULL,10.000000,New
1847467,13758,9500,NULL,10.000000,New
1847466,13758,9499,NULL,10.000000,New
1847455,13758,9405,NULL,9.123000,New
1847067,13751,9402,NULL,10.000000,Approved
1846951,13742,9813,NULL,9.808000,New
1846947,13742,9788,NULL,9.808000,Approved
1846931,13742,9708,NULL,9.808000,Approved
