keyid,name,secid,sub_secid
13375,merchandising,6557,6604
13374,in store promotions,6557,6604
13373,seniors,6567,6685
13372,seniors,6567,6684
13371,healthcare operators,6567,6685
13370,health insurance plans,6571,6707
13369,critical illness,6571,6707
13368,accident medical expense coverage,6571,6707
13366,toxicology lab,6567,6684
13365,food wholesaler,6564,6665
13364,construction consultancy,6557,6606
13363,noodle,6565,6672
13362,chilli sauce,6565,6672
13361,online recruitment solutions,6557,6605
13359,fibre reinforced plastic cable,6574,6745
13358,power utility cables,6556,6587
13357,kitchenware,6560,6627
13356,led lighting,6556,6587
13355,electrical accessories,6556,6587
13354,insulated glass units,6556,6584
13353,snack food distributor,6564,6665
13352,low voltage cabling services,6557,6598
13351,electrical equipment distributor,6563,6649
13350,commercial construction contractor,6556,6585
13348,marketing solutions,6557,6604
13345,outsourced electronic statement to mail services,6573,6732
13344,flow control equipment distributor,6563,6649
13343,egg-based biotechnology,6568,6688
13342,biomass power generation,6577,6762
13341,construction steel,6555,6579
13340,glycolic acid,6555,6568
13339,glycine,6555,6568
13338,phosphate rock,6555,6581
13337,oilfield services company,6554,6556
13336,multi-layered film,6555,6570
13335,waste management company,6557,6600
13334,organic and natural food products,6565,6672
13333,cyber risk management,6573,6734
13332,used car dealership,6563,6661
13330,siding,6556,6584
13329,building materials distributor,6563,6649
13327,facility management services,6557,6600
13326,pet care,6565,6675
13325,home health,6573,6731
13324,high acuity patients,6573,6732
13323,abased company,6573,6731
13322,abased company,6573,6730
13321,indian software company,6573,6729
13320,anaesthesia system,6567,6680
13319,anaesthesia kit,6567,6680
13318,accessories and consumables,6567,6680
13317,pharma,6555,6565
13316,personal care,6555,6565
13314,agrochemicals,6555,6565
13312,nutrition,6555,6565
13311,industrial coatings,6555,6565
13310,agrochemicals,6555,6568
13309,additives,6555,6568
13308,ict,6573,6731
13307,e-tailing,6573,6731
13306,ict,6573,6730
13305,e-tailing,6573,6730
13304,semantic technology,6573,6734
13303,machine learning,6573,6734
13302,deep learning,6573,6734
13301,revenue cycle management services,6557,6598
13300,metal stampings,6555,6571
13299,metal fabrication,6556,6593
13298,heating ventilation cooling + refrigeration,6556,6584
13297,vehicle access control systems,6557,6598
13296,bathroom accessories,6566,6677
13295,ophthalmic surgical equipment,6567,6680
13294,waste broker & management company,6557,6600
13293,energy conservation services,6557,6600
13292,road transportation,6558,6611
13291,marine transportation services,6558,6609
13290,contract logistics,6558,6612
13289,air transportation services,6558,6608
13288,travel services company,6561,6638
13287,contract logistics,6558,6611
13286,ent and ophthalmic surgery devices,6567,6680
13285,vehicle fleet management and leasing,6557,6598
13284,it managed services,6573,6730
13283,software and computer controlled solutions,6573,6730
13282,it systems and support services,6573,6730
13281,trade accreditation & certification,6557,6598
13280,p&c insurance software,6573,6734
13279,convenience store distributor,6563,6649
13278,respiratory-related medical equipment,6567,6680
13277,stone installation,6557,6602
13276,wishbones,6559,6617
13275,radiators,6559,6617
13274,cooling pipes,6559,6617
13273,bridge & highway construction,6556,6585
13272,speciality staffing company,6557,6605
13271,oriental foods distributor,6564,6665
13270,road haulage,6558,6612
13269,civil engineering contractor,6556,6585
13268,contract cleaning services,6557,6598
13267,door,6556,6584
13266,curtain walling systems,6556,6584
13265,aluminium window,6556,6584
13264,wood boxes,6555,6570
13263,palebox,6555,6572
13262,palebox,6555,6570
13261,cardboard packaging,6555,6572
13260,cardboard boxes,6555,6572
13259,photogrammetry equipment,6560,6630
13258,photogrammetry,6560,6630
13257,semiconductor and related device manufacturing,6575,6751
13256,data processing| hosting| and related services,6573,6732
13255,computer facilities management services,6573,6731
13254,trusts| estates| and agency accounts,6572,6712
13253,securities brokerage,6570,6704
13252,investment banking and securities dealing,6570,6703
13251,trust| fiduciary| and custody activities,6570,6702
13250,dental equipment and supplies manufacturing,6567,6681
13249,surgical appliance and supplies manufacturing,6567,6681
13248,soft drink manufacturing,6565,6671
13247,distilleries,6565,6670
13246,wineries,6565,6670
13245,breweries,6565,6669
13244,supermarkets,6564,6667
13243,confectionery and nut stores,6564,6666
13242,baked goods stores,6564,6666
13241,fruit and vegetable markets,6564,6666
13240,fish and seafood markets,6564,6666
13239,meat markets,6564,6666
13238,department stores,6563,6655
13237,mail-order houses,6563,6651
13236,advertising material distribution services,6562,6644
13232,footwear manufacturing,6560,6633
13231,photographic film| paper| plate| and chemical manufacturing,6560,6630
13230,household laundry equipment manufacturing,6560,6628
13229,household refrigerator and home freezer manufacturing,6560,6628
13228,highway| street| and bridge construction,6558,6615
13227,security guards and patrol services,6557,6603
13226,facilities support services,6557,6602
13225,office administrative services,6557,6601
13224,construction machinery manufacturing,6556,6591
13223,commercial| industrial| and institutional electric lighting fixture manufacturing,6556,6588
13222,residential electric lighting fixture manufacturing,6556,6588
13221,electric lamp bulb and part manufacturing,6556,6588
13220,instrument manufacturing for measuring and testing electricity and electrical signals,6556,6588
13219,silver ore mining,6555,6577
13218,gold ore mining,6555,6577
13217,folding paperboard box manufacturing,6555,6572
13216,paper bag and coated and treated paper manufacturing,6555,6572
13215,support activities for oil and gas operations,6554,6558
13214,biomass electric power generation,6577,6762
13213,geothermal electric power generation,6577,6762
13212,wind electric power generation,6577,6762
13211,solar electric power generation,6577,6762
13210,hydroelectric power generation,6577,6762
13209,nuclear electric power generation,6577,6761
13208,fossil fuel electric power generation,6577,6761
13207,irradiation apparatus manufacturing,6574,6747
13206,analytical laboratory instrument manufacturing,6574,6747
13205,telephone apparatus manufacturing,6574,6747
13204,instruments and related products manufacturing for measuring| displaying| and controlling industrial process variables,6574,6747
13203,automatic environmental control manufacturing for residential| commercial| and appliance use,6574,6747
13202,totalizing fluid meter and counting device manufacturing,6574,6747
13200,electronic computer manufacturing,6574,6747
13199,electromedical and electrotherapeutic apparatus manufacturing,6574,6747
13198,search| detection| navigation| guidance| aeronautical| and nautical system and instrument manufacturing,6574,6747
13197,audio and video equipment manufacturing,6574,6747
13196,printed circuit assembly  manufacturing,6574,6747
13195,capacitor| resistor| coil| transformer,6574,6747
13194,computer storage device manufacturing,6574,6747
13193,electronic connector manufacturing,6574,6747
13192,computer terminal,6574,6747
13191,bare printed circuit board manufacturing,6574,6747
13190,blank magnetic and optical recording media manufacturing,6574,6747
13189,software,6574,6747
13188,primary battery manufacturing,6574,6744
13187,current-carrying wiring device manufacturing,6574,6738
13186,noncurrent-carrying wiring device manufacturing,6574,6738
13185,carbon and graphite product manufacturing,6574,6738
13184,fiber optic cable manufacturing,6574,6738
13183,residential remodelers,6572,6725
13182,new multifamily housing construction,6572,6726
13181,new housing for-sale builders,6572,6726
13180,new single-family housing construction,6572,6726
13179,commercial and institutional building construction,6572,6727
13178,industrial building construction,6572,6727
13177,insurance agencies and brokerages,6571,6710
13176,direct property and casualty insurance carriers,6571,6710
13175,third party administration of insurance and pension funds,6571,6710
13174,direct title insurance carriers,6571,6710
13173,claims adjusting,6571,6710
13172,direct life insurance carriers,6571,6710
13171,reinsurance  carriers,6571,6710
13170,direct health and medical insurance carriers,6571,6710
13169,offices of physicians,6567,6685
13168,family planning centers,6567,6685
13167,services for the elderly and persons with disabilities,6567,6685
13166,offices of chiropractors,6567,6685
13165,child day care services,6567,6685
13164,outpatient mental health and substance abuse centers,6567,6685
13163,nursing care facilities,6567,6685
13162,offices of physicians| mental health specialists,6567,6685
13161,child and youth services,6567,6685
13160,community food services,6567,6685
13159,specialty  hospitals,6567,6685
13158,kidney dialysis centers,6567,6685
13157,ambulance services,6567,6685
13156,freestanding ambulatory surgical and emergency centers,6567,6685
13155,temporary shelters,6567,6685
13154,hmo medical centers,6567,6685
13153,general medical and surgical hospitals,6567,6685
13152,diagnostic imaging centers,6567,6685
13151,emergency,6567,6685
13150,blood and organ banks,6567,6685
13149,offices of dentists,6567,6685
13148,residential intellectual and developmental disability facilities,6567,6685
13147,medical laboratories,6567,6685
13146,offices of podiatrists,6567,6685
13145,offices of optometrists,6567,6685
13144,home health care services,6567,6685
13143,offices,6567,6685
13142,offices of mental health practitioners,6567,6685
13141,psychiatric and substance abuse hospitals,6567,6685
13140,residential mental health and substance abuse facilities,6567,6685
13139,offices of physical| occupational and speech therapists| and audiologists,6567,6685
13138,vocational rehabilitation services,6567,6685
13137,commercial banking,6569,6693
13136,monetary authorities-central bank,6569,6693
13135,mushroom production,6565,6673
13134,fruit and tree nut combination farming,6565,6673
13133,wheat farming,6565,6673
13132,berry  farming,6565,6673
13131,tree nut farming,6565,6673
13130,grape vineyards,6565,6673
13129,strawberry farming,6565,6673
13128,potato farming,6565,6673
13127,nursery and tree production,6565,6673
13126,corn farming,6565,6673
13125,apple orchards,6565,6673
13124,floriculture production,6565,6673
13123,farm labor contractors and crew leaders,6565,6673
13122,postharvest crop activities,6565,6673
13121,crop harvesting| primarily by machine,6565,6673
13120,soil preparation| planting| and cultivating,6565,6673
13118,rice farming,6565,6673
13116,hay farming,6565,6673
13115,peanut farming,6565,6673
13114,cattle feedlots,6565,6673
13113,orange groves,6565,6673
13112,sugarcane farming,6565,6673
